iter	MultiClass
159	0.5344808991
160	0.5318349379
161	0.5294891136
162	0.5273472354
163	0.5250397073
164	0.5225390304
165	0.5210068852
166	0.5196810502
167	0.5181736477
168	0.5169104173
169	0.5151097288
170	0.512339159
171	0.5114674797
172	0.5098224842
173	0.5079281069
174	0.5061632022
175	0.5041925114
176	0.5022996073
177	0.4994423462
178	0.4975025372
179	0.4958734531
180	0.4943605116
181	0.4930887857
182	0.4916593614
183	0.4900670951
184	0.4884263472
185	0.4866362399
186	0.4856791449
187	0.4852180878
188	0.4832514018
189	0.4822191492
190	0.4808617501
191	0.4786834704
192	0.4774922439
193	0.4759342852
194	0.4747186578
195	0.4737337741
196	0.4720480785
197	0.4696274361
198	0.4683787209
199	0.466792372
200	0.4656769871
201	0.4634536239
202	0.4618998252
203	0.4610382062
204	0.460056383
205	0.4577560951
206	0.4564578614
207	0.4551368857
208	0.4536759817
209	0.452939851
210	0.4515981634
211	0.4506619788
212	0.4490395252
213	0.4474275741
214	0.4450790165
215	0.4436988297
216	0.4427232907
217	0.441491469
218	0.4402444479
219	0.4394679194
220	0.4385980778
221	0.4376859029
222	0.4359502791
223	0.4342149169
224	0.4319521703
225	0.43113088
226	0.4297817543
227	0.4279911078
228	0.4266205394
229	0.4251369195
230	0.4237628203
231	0.4230065859
232	0.4213542155
233	0.4203421374
234	0.4192323906
235	0.4185380312
236	0.4169605282
237	0.4160472041
238	0.4149942584
239	0.4141359362
240	0.4134790677
241	0.4121084572
242	0.4108639834
243	0.4098668449
244	0.4086655488
245	0.4079126029
246	0.406196028
247	0.4048130005
248	0.4036981271
249	0.402538012
250	0.4010274067
251	0.3989198272
252	0.3978084932
253	0.396527898
254	0.3956974813
255	0.3941371129
256	0.3934202209
257	0.3926208256
258	0.3918288295
259	0.3900586234
260	0.3883890016
261	0.3871406754
262	0.3861741752
263	0.3849666846
264	0.3837986864
265	0.3827884393
266	0.3816616141
267	0.3802304354
268	0.3793388594
269	0.3779656816
270	0.376341084
271	0.3746173697
272	0.3726970618
273	0.3715279661
274	0.3706982297
275	0.3698796591
276	0.3690929929
277	0.3681352491
278	0.3677813448
279	0.3668642257
280	0.3658505471
281	0.3645497295
282	0.3634464664
283	0.3623004794
284	0.3608837341
285	0.3595719061
286	0.3585212046
287	0.357449655
288	0.3568606025
289	0.3563478266
290	0.3554712515
291	0.3547759885
292	0.3542434051
293	0.3531107973
294	0.3519303688
295	0.3506898155
296	0.3492049014
297	0.3485982434
298	0.3469671485
299	0.3457703821
300	0.3448506231
301	0.3441558325
302	0.3430672142
303	0.3415051564
304	0.3408428411
305	0.3400502004
306	0.339682172
307	0.3392302118
308	0.338867404
309	0.3378975323
310	0.3373201186
311	0.3367522528
312	0.3354591153
313	0.3342087693
314	0.3333354756
315	0.3330479055
316	0.3325858554
317	0.3319818173
318	0.3310808892
319	0.3300552511
320	0.3293624493
321	0.3284195901
322	0.3278524246
323	0.3271211741
324	0.3265794238
325	0.3258124762
326	0.3246333895
327	0.3240335153
328	0.3227389342
329	0.3220654757
330	0.3213744436
331	0.3203300539
332	0.3195723543
333	0.3185455849
334	0.3178001202
335	0.3167923597
336	0.3163920558
337	0.3159366721
338	0.3150494831
339	0.314288331
340	0.3131952768
341	0.3121590558
342	0.3110758935
343	0.3106169898
344	0.3100341095
345	0.3094139655
346	0.3092635853
347	0.3085294671
348	0.3076799301
349	0.3070728876
350	0.3061585439
351	0.3055570683
352	0.3052585912
353	0.3047540975
354	0.3037771372
355	0.302710176
356	0.3020020824
357	0.3012953818
358	0.3004534622
359	0.2995405885
360	0.2988335187
361	0.2983024739
362	0.2980033679
363	0.2967418126
364	0.2958230011
365	0.2947323074
366	0.2940720155
367	0.2935861004
368	0.2931422136
369	0.2923245648
370	0.2916397721
371	0.2911160114
372	0.2905471648
373	0.2894564179
374	0.2885959958
375	0.2876573448
376	0.2869975741
377	0.286111492
378	0.2857438297
379	0.2847740511
380	0.2842469965
381	0.2836810295
382	0.2830713669
383	0.2823864797
384	0.2819118737
385	0.281424441
386	0.2805783541
387	0.2796595504
388	0.2791488708
389	0.2785405598
390	0.2778873668
391	0.2771085545
392	0.276391213
393	0.2755920109
394	0.2748380686
395	0.2737901929
396	0.2729413483
397	0.2721427098
398	0.2711335401
399	0.2706404402
400	0.2699481107
401	0.2690407325
402	0.2684938688
403	0.2679880571
404	0.2671003217
405	0.2666525694
406	0.2659923888
407	0.2654481248
408	0.2648626316
409	0.2637602197
410	0.2627553149
411	0.2622094813
412	0.2619843975
413	0.2613214352
414	0.2604203247
415	0.2598482756
416	0.259140555
417	0.2583228947
418	0.2575503418
419	0.256931909
420	0.2562438233
421	0.2557051982
422	0.2547999869
423	0.254110315
424	0.2532899436
425	0.2528039376
426	0.2521074523
427	0.2515358584
428	0.2511753879
429	0.2508425494
430	0.2502492684
431	0.2494545723
432	0.2490420597
433	0.2483816704
434	0.2479792373
435	0.2472079507
436	0.2466705758
437	0.2457763114
438	0.2452779796
439	0.2446537
440	0.2443715722
441	0.2439853603
442	0.2435394998
443	0.2430122942
444	0.2422647502
445	0.2419781695
446	0.2415361449
447	0.2410205084
448	0.2407222705
449	0.2397915247
450	0.2390612176
451	0.2384828417
452	0.2381559218
453	0.2378231203
454	0.2371217333
455	0.23672862
456	0.2361449886
457	0.2357862913
458	0.2350992914
459	0.2345781035
460	0.2340710414
461	0.2332135792
462	0.2328729752
463	0.2323511721
464	0.2318565255
465	0.2314300229
466	0.2307583333
467	0.2303091318
468	0.2296195575
469	0.2289935067
470	0.2284982536
471	0.228013225
472	0.2275923463
473	0.2270213565
474	0.2264727244
475	0.2256917708
476	0.2251850891
477	0.2245931486
478	0.2239732083
479	0.2234749289
480	0.2228082949
481	0.2223840579
482	0.2215865646
483	0.2211581769
484	0.2206338965
485	0.2200746213
486	0.219329159
487	0.2189755399
488	0.2188149565
489	0.2184386901
490	0.2177489919
491	0.2175527956
492	0.2172181528
493	0.2169278607
494	0.2165919158
495	0.2158647356
496	0.2151713963
497	0.2145368117
498	0.2141350694
499	0.2137694646
